,time,mid_o,mid_h,mid_l,mid_c,MA_50,MA_200,DELTA,DELTA_PREV,TRADE
0,2021-05-17 05:00:00+00:00,1.21298,1.215,1.21262,1.21481,1.2099588,1.1995066,0.0104521999999998,,0
1,2021-05-17 09:00:00+00:00,1.2148,1.2169,1.21346,1.214,1.2101938,1.19972275,0.010471050000000037,0.0104521999999998,0
2,2021-05-17 13:00:00+00:00,1.21398,1.21577,1.2138,1.2156,1.2105122,1.19992755,0.010584649999999973,0.010471050000000037,0
3,2021-05-17 17:00:00+00:00,1.21561,1.21615,1.21496,1.215,1.2108182,1.20013975,0.010678450000000117,0.010584649999999973,0
4,2021-05-17 21:00:00+00:00,1.21528,1.2159,1.21508,1.21564,1.211143,1.20034295,0.010800050000000061,0.010678450000000117,0
5,2021-05-18 01:00:00+00:00,1.21566,1.21693,1.21556,1.21646,1.2114626,1.20055985,0.01090274999999985,0.010800050000000061,0
6,2021-05-18 05:00:00+00:00,1.21648,1.22198,1.21638,1.22186,1.2118993999999998,1.2008045,0.011094899999999797,0.01090274999999985,0
7,2021-05-18 09:00:00+00:00,1.22185,1.2234,1.22064,1.22212,1.2123368,1.2010572000000002,0.011279599999999945,0.011094899999999797,0
8,2021-05-18 13:00:00+00:00,1.22215,1.22238,1.21975,1.2217,1.2126918,1.2013018,0.011390000000000011,0.011279599999999945,0
9,2021-05-18 17:00:00+00:00,1.22168,1.22302,1.22148,1.22225,1.2130226,1.2015403999999998,0.011482200000000109,0.011390000000000011,0
10,2021-05-18 21:00:00+00:00,1.22239,1.22329,1.2221,1.22264,1.2133756,1.201767,0.011608599999999969,0.011482200000000109,0
11,2021-05-19 01:00:00+00:00,1.22265,1.22354,1.22174,1.22314,1.2137078000000001,1.201994,0.011713800000000107,0.011608599999999969,0
12,2021-05-19 05:00:00+00:00,1.22312,1.22454,1.22045,1.22165,1.2140136,1.2022164499999999,0.011797150000000034,0.011713800000000107,0
13,2021-05-19 09:00:00+00:00,1.22167,1.22207,1.21888,1.22078,1.2143017999999999,1.2024313500000001,0.011870449999999755,0.011797150000000034,0
14,2021-05-19 13:00:00+00:00,1.22079,1.22388,1.22036,1.2211,1.2145485999999999,1.2026457499999998,0.01190285000000002,0.011870449999999755,0
15,2021-05-19 17:00:00+00:00,1.22108,1.22149,1.21597,1.21758,1.2146422000000001,1.20284925,0.011792950000000024,0.01190285000000002,0
16,2021-05-19 21:00:00+00:00,1.2169,1.21851,1.2169,1.21851,1.2147101999999999,1.2030611999999998,0.01164900000000002,0.011792950000000024,0
17,2021-05-20 01:00:00+00:00,1.21848,1.21853,1.21696,1.21822,1.2147481999999998,1.2032722,0.01147599999999982,0.01164900000000002,0
18,2021-05-20 05:00:00+00:00,1.2182,1.22048,1.21772,1.21882,1.2148014,1.20348375,0.011317650000000068,0.01147599999999982,0
19,2021-05-20 09:00:00+00:00,1.21883,1.22082,1.2181,1.22,1.2148982,1.2037042,0.011193999999999926,0.011317650000000068,0
20,2021-05-20 13:00:00+00:00,1.22002,1.22264,1.21975,1.22183,1.2149924,1.2039396500000001,0.011052749999999945,0.011193999999999926,0
21,2021-05-20 17:00:00+00:00,1.22184,1.22293,1.22122,1.22286,1.2151072,1.20416445,0.010942750000000112,0.011052749999999945,0
22,2021-05-20 21:00:00+00:00,1.22282,1.22379,1.2224,1.2234,1.2152572,1.2043734000000001,0.010883799999999777,0.010942750000000112,0
23,2021-05-21 01:00:00+00:00,1.22341,1.22395,1.22276,1.2233,1.2154656,1.20458375,0.01088184999999986,0.010883799999999777,0
24,2021-05-21 05:00:00+00:00,1.22331,1.22399,1.22098,1.22239,1.2156574,1.2047887,0.010868700000000064,0.01088184999999986,0
25,2021-05-21 09:00:00+00:00,1.2224,1.2238,1.21784,1.22059,1.2157858,1.2049888500000001,0.010796949999999805,0.010868700000000064,0
26,2021-05-21 13:00:00+00:00,1.22061,1.22103,1.21608,1.21644,1.2157898,1.20516415,0.010625649999999931,0.010796949999999805,0
27,2021-05-21 17:00:00+00:00,1.21644,1.2188,1.21627,1.21817,1.2158166,1.2053406,0.01047599999999993,0.010625649999999931,0
28,2021-05-23 21:00:00+00:00,1.21768,1.21872,1.21724,1.21804,1.2158498,1.205503,0.01034679999999999,0.01047599999999993,0
29,2021-05-24 01:00:00+00:00,1.21806,1.21854,1.21752,1.21796,1.2159124,1.20565455,0.010257849999999902,0.01034679999999999,0
30,2021-05-24 05:00:00+00:00,1.21798,1.22044,1.21749,1.21968,1.2160296000000002,1.20581675,0.010212850000000051,0.010257849999999902,0
